type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,hour_of_day,distance_from_home,is_abroad,isFraud
TRANSFER,229.22,58870.42,58641.2,71156.18,71385.4,8,27.55,0,0
TRANSFER,4725.4,89876.71,85151.31000000001,30926.48,35651.88,19,1.84,0,0
CASH_IN,109.91,34373.84,34263.92999999999,84915.27,85025.18000000001,20,24.41,0,0
TRANSFER,13730.34,13730.34,0.0,0.0,13730.34,1,117.76,0,1
PAYMENT,337.02,40171.01,39833.990000000005,24441.69,24778.71,3,13.16,0,0
TRANSFER,20.89,65208.25,65187.36,18054.86,18075.75,14,5.54,0,0
PAYMENT,434.0,63424.72,62990.72,84474.14,84908.14,4,61.45,0,0
PAYMENT,173.39,62589.79,62416.4,98071.67,98245.06,8,16.57,0,0
CASH_OUT,662.78,22929.34,22266.56,28603.99,29266.77,10,9.63,0,0
PAYMENT,65.09,59338.39,59273.3,7470.98,7536.07,15,18.12,0,0
PAYMENT,68.67,35081.52,35012.85,42718.61,42787.28,16,2.76,0,0
PAYMENT,17.68,23589.38,23571.7,13865.8,13883.48,20,12.65,0,0
PAYMENT,230.52,22872.71,22642.19,57538.22,57768.74,8,5.8,0,0
PAYMENT,64.26,30921.95,30857.690000000002,56600.15,56664.41,15,12.49,0,0
CASH_OUT,5.0,63667.35,63662.35,44685.77,44690.77,6,1.76,0,0
CASH_IN,359.14,22070.35,21711.21,38601.4,38960.54,13,4.06,0,0
CASH_IN,289.89,44108.19,43818.3,84086.55,84376.44,15,2.53,0,0
TRANSFER,98.9,93588.5,93489.6,73684.04,73782.93999999999,11,19.2,0,0
TRANSFER,174.8,48219.75,48044.95,18714.9,18889.7,10,36.33,0,0
CASH_OUT,86.07,12676.69,12590.62,47993.29,48079.36,18,6.46,0,0
TRANSFER,70166.39,70166.39,0.0,0.0,70166.39,17,117.1,1,1
PAYMENT,275.67,28786.52,28510.850000000002,16474.82,16750.489999999998,21,9.4,0,0
PAYMENT,30.74,81714.58,81683.84,74557.98,74588.72,16,51.63,0,0
PAYMENT,353.97,5090.510223635739,4736.540223635739,21378.28,21732.25,12,2.23,0,0
DEBIT,529.28,46755.66,46226.380000000005,49680.22,50209.5,16,12.58,0,0
CASH_OUT,55.18,22188.73,22133.55,58582.01,58637.19,14,25.43,0,0
CASH_OUT,925.41,15475.53,14550.12,16962.64,17888.05,15,31.25,0,0
PAYMENT,237.61,48262.48,48024.87,78741.08,78978.69,20,35.95,0,0
CASH_OUT,69.61,2075.15,2005.5400000000002,89200.65,89270.26,8,10.02,0,0
TRANSFER,112.97,54419.34,54306.369999999995,3361.34,3474.31,9,1.82,0,0
CASH_IN,1526.2,83682.27,82156.07,17943.75,19469.95,6,8.61,0,0
CASH_OUT,1255.67,12790.63,11534.96,3844.13,5099.8,15,19.59,0,0
PAYMENT,93.58,47867.66,47774.08,20867.79,20961.370000000003,10,10.16,0,0
CASH_OUT,5.32,84221.36,84216.04,96095.43,96100.75,19,15.3,0,0
CASH_IN,134.66,96974.14,96839.48,27436.17,27570.829999999998,9,3.31,0,0
PAYMENT,94.25,68574.95,68480.7,67103.8,67198.05,17,14.69,0,0
PAYMENT,211.16,77854.6,77643.44,65510.27,65721.43,19,0.5,1,0
CASH_OUT,740.2,21993.75,21253.55,73809.99,74550.19,16,27.54,0,0
CASH_OUT,375.95,26288.41,25912.46,67557.68,67933.62999999999,15,37.71,0,0
PAYMENT,196.89,3693.72,3496.83,48372.56,48569.45,10,51.17,0,0
CASH_IN,362.83,30465.07,30102.239999999998,49928.09,50290.92,8,9.54,0,0
PAYMENT,185.63,60878.85,60693.22,99717.55,99903.18000000001,19,72.13,0,0
PAYMENT,148.77,2272.88,2124.11,9184.29,9333.060000000001,9,4.42,0,0
PAYMENT,188.57,85098.88,84910.31,98495.53,98684.1,20,41.15,0,0
CASH_OUT,215.54,42628.52,42412.979999999996,28533.91,28749.45,8,2.89,0,0
DEBIT,27.34,55198.77,55171.43,32753.36,32780.7,21,18.88,0,0
CASH_OUT,1627.7,26013.86,24386.16,40964.23,42591.93,20,25.68,0,0
PAYMENT,562.2,96909.62,96347.42,93125.56,93687.76,15,2.85,0,0
PAYMENT,28.35,32718.59,32690.24,38715.04,38743.39,8,25.79,0,0
PAYMENT,495.49,75996.21,75500.72,96104.2,96599.69,12,0.6,0,0
CASH_IN,34.39,24482.41,24448.02,25695.14,25729.53,19,13.58,0,0
CASH_OUT,27.64,36984.71,36957.07,23489.29,23516.93,12,2.45,0,0
CASH_OUT,37.95,90495.25,90457.3,6163.72,6201.67,14,11.19,0,0
PAYMENT,162.8,34308.29,34145.49,46859.65,47022.450000000004,17,21.86,0,0
TRANSFER,19.55,17943.35,17923.8,6291.05,6310.6,12,6.71,0,0
TRANSFER,31.61,70583.92,70552.31,20844.97,20876.58,7,21.37,0,0
PAYMENT,1474.3,44366.99,42892.689999999995,19528.54,21002.84,9,17.57,0,0
PAYMENT,451.86,39029.91,38578.05,73275.42,73727.28,11,14.76,0,0
PAYMENT,247.54,78331.77,78084.23000000001,92207.73,92455.26999999999,4,4.66,0,0
PAYMENT,357.19,4881.48,4524.29,51393.14,51750.33,5,8.23,0,0
TRANSFER,213.04,37119.77,36906.729999999996,6485.37,6698.41,15,3.76,0,0
DEBIT,450.26,29236.33,28786.070000000003,12676.44,13126.7,10,16.44,0,0
TRANSFER,173.13,15849.45,15676.320000000002,55670.64,55843.77,7,33.01,0,0
PAYMENT,157.41,83473.44,83316.03,86076.47,86233.88,9,9.62,0,0
CASH_OUT,2309.92,33739.12,31429.200000000004,10868.82,13178.74,4,33.43,0,0
PAYMENT,3930.1,54447.39,50517.29,63055.87,66985.97,16,1.04,1,0
PAYMENT,151.01,27034.01,26883.0,45743.61,45894.62,19,10.74,1,0
PAYMENT,98.54,99824.35,99725.81000000001,68824.53,68923.06999999999,14,6.56,0,0
PAYMENT,34.51,61401.64,61367.13,1250.34,1284.85,13,15.23,0,0
CASH_OUT,47761.63,47761.63,0.0,0.0,47761.63,14,185.12,0,1
PAYMENT,225.81,22366.56,22140.75,92197.98,92423.79,8,4.51,0,0
PAYMENT,706.2,20959.2,20253.0,57477.17,58183.369999999995,7,38.8,0,0
PAYMENT,87.31,34996.72,34909.41,72836.36,72923.67,11,69.12,0,0
TRANSFER,36.06,88681.39,88645.33,26811.25,26847.31,10,5.29,0,0
TRANSFER,995.89,92203.39,91207.5,85149.44,86145.33,14,5.64,0,0
CASH_IN,202.94,86468.86,86265.92,30543.65,30746.59,23,1.98,0,0
PAYMENT,66.28,52738.01,52671.73,86607.85,86674.13,17,16.38,0,0
CASH_IN,2335.15,62652.58,60317.43,65745.21,68080.36,8,8.58,0,0
CASH_OUT,152.78,24763.75,24610.97,72273.51,72426.29,18,58.83,0,0
CASH_OUT,587.23,27741.43,27154.2,2917.18,3504.41,14,13.53,0,0
CASH_OUT,142.93,98423.2,98280.27,94661.58,94804.51,7,6.59,0,0
CASH_IN,80.37,32397.94,32317.57,45148.69,45229.060000000005,4,39.2,1,0
CASH_OUT,464.72,22427.79,21963.07,49614.42,50079.14,9,21.18,0,0
PAYMENT,141.01,52121.41,51980.4,89641.54,89782.54999999999,10,12.93,0,0
PAYMENT,9134.87,31652.46,22517.589999999997,56648.71,65783.58,11,2.14,0,0
TRANSFER,119.09,10439.4,10320.31,15780.19,15899.28,5,8.84,0,0
CASH_OUT,575.88,3980.64,3404.7599999999998,14606.84,15182.72,12,10.24,0,0
TRANSFER,399.28,57984.14,57584.86,64790.04,65189.32,10,1.68,0,0
CASH_OUT,182.71,94013.62,93830.90999999999,98395.36,98578.07,8,10.48,0,0
PAYMENT,898.52,44847.76,43949.240000000005,6201.84,7100.360000000001,8,1.62,0,0
TRANSFER,68.83,7089.98,7021.15,37651.88,37720.71,10,32.65,0,0
CASH_OUT,14.01,42451.2,42437.189999999995,35126.61,35140.62,21,18.04,0,0
PAYMENT,399.71,65565.49,65165.780000000006,22271.15,22670.86,13,9.17,0,0
TRANSFER,93.69,46072.55,45978.86,64941.41,65035.100000000006,8,14.49,0,0
CASH_IN,310.54,21808.95,21498.41,78842.62,79153.15999999999,5,30.17,0,0
TRANSFER,74.23,54664.81,54590.579999999994,47901.21,47975.44,6,23.56,0,0
PAYMENT,481.31,65877.36,65396.05,15428.65,15909.96,13,17.84,0,0
PAYMENT,229.12,92472.36,92243.24,20843.47,21072.59,9,2.7,0,0
PAYMENT,32.86,74678.57,74645.71,50282.04,50314.9,12,38.02,0,0
CASH_OUT,1752.18,82387.81,80635.63,20980.3,22732.48,19,35.39,0,0
CASH_OUT,32.97,41953.31,41920.34,42917.15,42950.12,17,0.5,0,0
CASH_OUT,6.69,48659.85,48653.159999999996,11631.56,11638.25,7,40.08,0,0
CASH_OUT,212.25,35584.69,35372.44,3427.01,3639.26,12,12.1,0,0
TRANSFER,209.02,33193.52,32984.5,81573.41,81782.43000000001,12,10.6,0,0
PAYMENT,63.52,2980.79,2917.27,3316.32,3379.84,7,30.28,0,0
PAYMENT,35.56,33494.2,33458.64,55431.18,55466.74,19,32.17,0,0
PAYMENT,1257.28,52414.13,51156.85,40162.95,41420.229999999996,9,24.32,0,0
PAYMENT,23.43,63951.53,63928.1,8257.31,8280.74,19,28.48,0,0
CASH_OUT,272.57,33402.74,33130.17,77883.64,78156.21,8,10.63,0,0
TRANSFER,75.59,71219.26,71143.67,72627.89,72703.48,22,9.84,0,0
TRANSFER,50820.12,50820.12,0.0,200.0,51020.12,3,159.39,1,1
CASH_IN,324.2,14965.67,14641.47,54412.72,54736.92,12,32.57,0,0
CASH_OUT,17.7,88590.83,88573.13,67797.09,67814.79,19,0.91,0,0
CASH_IN,110.1,66188.72,66078.62,76102.09,76212.19,18,12.35,0,0
CASH_IN,802.33,42766.58,41964.25,28141.77,28944.100000000002,9,0.5,0,0
CASH_IN,193.4,51459.67,51266.27,31008.32,31201.72,8,6.93,0,0
CASH_IN,113.19,18750.47,18637.280000000002,155.31,268.5,14,10.99,0,0
PAYMENT,29.8,49567.11,49537.31,52392.1,52421.9,9,60.22,1,0
TRANSFER,684.35,46286.46,45602.11,75620.4,76304.75,0,6.04,0,0
PAYMENT,375.47,80045.02,79669.55,9858.67,10234.14,6,8.72,0,0
CASH_OUT,86.35,24037.79,23951.440000000002,85531.75,85618.1,7,46.67,0,0
CASH_OUT,33.76,68139.12,68105.36,47977.83,48011.590000000004,1,18.19,0,0
CASH_IN,568.73,12381.52,11812.79,68261.91,68830.64,7,24.68,0,0
PAYMENT,115.05,10588.7,10473.650000000001,4044.92,4159.97,10,21.48,0,0
PAYMENT,723.68,82504.32,81780.64000000001,78217.11,78940.79,10,9.25,0,0
PAYMENT,547.84,42181.95,41634.11,31847.44,32395.28,9,1.97,0,0
CASH_IN,454.79,32707.79,32253.0,2003.84,2458.63,8,8.1,0,0
CASH_OUT,46.23,67744.98,67698.75,76597.84,76644.06999999999,12,51.73,0,0
DEBIT,38.41,56828.34,56789.92999999999,60921.9,60960.310000000005,0,74.46,0,0
TRANSFER,321.11,4809.94,4488.83,51318.26,51639.37,7,11.06,0,0
PAYMENT,470.87,49158.71,48687.84,87076.85,87547.72,11,31.75,0,0
TRANSFER,304.18,58989.57,58685.39,70310.51,70614.68999999999,7,19.77,0,0
CASH_OUT,98.7,80862.55,80763.85,16272.76,16371.460000000001,9,31.61,0,0
CASH_IN,55.48,96212.7,96157.22,16600.6,16656.079999999998,18,8.26,0,0
TRANSFER,187.01,24243.08,24056.070000000003,15215.73,15402.74,18,5.43,0,0
CASH_OUT,20.28,94599.31,94579.03,64729.1,64749.38,17,30.98,0,0
TRANSFER,53.54,7310.55,7257.01,16257.74,16311.28,7,4.88,0,0
CASH_OUT,794.63,15751.27,14956.640000000001,51141.31,51935.939999999995,18,22.06,0,0
PAYMENT,184.53,57025.16,56840.630000000005,24527.96,24712.489999999998,19,6.4,0,0
PAYMENT,46.26,18504.02,18457.760000000002,55006.13,55052.39,9,0.5,0,0
PAYMENT,105.69,8348.49,8242.8,55264.97,55370.66,10,0.5,0,0
CASH_IN,63.76,5472.19,5408.429999999999,19361.55,19425.309999999998,10,26.03,0,0
PAYMENT,97.81,52548.8,52450.990000000005,40079.73,40177.54,2,3.48,0,0
CASH_IN,23.77,41733.96,41710.19,36028.61,36052.38,14,21.0,0,0
DEBIT,722.15,85498.55,84776.40000000001,99362.17,100084.31999999999,12,2.0,0,0
PAYMENT,2267.11,73292.48,71025.37,21313.99,23581.100000000002,4,0.5,0,0
TRANSFER,54.63,82196.21,82141.58,82155.95,82210.58,14,5.29,0,0
TRANSFER,448.48,82065.81,81617.33,21239.17,21687.649999999998,6,21.95,0,0
CASH_IN,92.01,9297.09,9205.08,64180.45,64272.46,3,5.95,0,0
TRANSFER,230.33,81185.89,80955.56,14033.83,14264.16,16,17.4,0,0
PAYMENT,34.54,33971.1,33936.56,8895.63,8930.17,8,6.93,0,0
PAYMENT,106.87,44552.28,44445.409999999996,95173.38,95280.25,10,15.98,0,0
TRANSFER,3105.07,74502.15,71397.07999999999,64472.78,67577.85,18,1.18,0,0
TRANSFER,149.64,85198.24,85048.6,52240.7,52390.34,5,118.1,0,0
CASH_OUT,539.35,38772.74,38233.39,15442.48,15981.83,13,46.73,0,0
CASH_OUT,147.08,55270.23,55123.15,28767.24,28914.320000000003,19,18.0,0,0
DEBIT,27.65,8492.67,8465.02,78096.86,78124.51,17,13.65,0,0
PAYMENT,1086.43,11910.82,10824.39,1995.11,3081.54,19,1.76,0,0
PAYMENT,24.68,4278.35718597637,4253.677185976369,27631.07,27655.75,15,48.72,0,0
DEBIT,14.53,61845.53,61831.0,53653.31,53667.84,17,29.05,0,0
PAYMENT,94.95,52138.45,52043.5,98935.62,99030.56999999999,14,2.42,0,0
CASH_IN,63.42,29484.03,29420.61,56212.85,56276.27,9,0.5,0,0
CASH_OUT,59.67,87591.04,87531.37,27916.38,27976.05,11,17.25,0,0
CASH_IN,41.41,67811.02,67769.61,59759.3,59800.71000000001,6,22.39,0,0
PAYMENT,98.17,32184.88,32086.710000000003,60301.69,60399.86,17,1.51,0,0
TRANSFER,83539.63,123487.27,39947.64,0.0,83539.63,15,467.89,0,1
CASH_OUT,354.6,78309.36,77954.76,91656.05,92010.65000000001,10,3.2,0,0
PAYMENT,782.01,72809.5,72027.49,6647.34,7429.35,11,87.41,0,0
CASH_IN,119.25,80545.77,80426.52,87129.66,87248.91,12,19.95,0,0
CASH_IN,208.85,80433.94,80225.09,31167.95,31376.8,13,25.22,0,0
PAYMENT,1425.64,75533.72,74108.08,4937.26,6362.900000000001,15,2.65,0,0
CASH_OUT,70.23,55754.75,55684.52,85914.94,85985.17,20,25.3,0,0
PAYMENT,964.14,89925.56,88961.42,58381.72,59345.86,16,57.02,0,0
DEBIT,13.8,22752.84,22739.04,34749.1,34762.9,12,29.31,0,0
PAYMENT,3881.9,94696.51,90814.61,16459.89,20341.79,0,1.65,0,0
PAYMENT,38.69,64951.53,64912.84,27812.49,27851.18,11,5.69,0,0
PAYMENT,96.69,95186.13,95089.44,51783.9,51880.590000000004,12,13.05,0,0
CASH_OUT,54.27,98999.42,98945.15,28679.36,28733.63,1,15.32,0,0
PAYMENT,109.91,57979.02,57869.10999999999,59716.38,59826.29,18,13.19,0,0
DEBIT,30.0,99289.18,99259.18,33808.58,33838.58,13,10.22,0,0
PAYMENT,65.0,89493.17,89428.17,93221.64,93286.64,16,28.45,0,0
TRANSFER,24.15,47110.28,47086.13,13527.39,13551.539999999999,10,59.11,0,0
PAYMENT,11.32,45263.31,45251.99,28106.68,28118.0,13,15.94,0,0
CASH_OUT,1608.42,72640.45,71032.03,24502.76,26111.18,18,49.68,0,0
PAYMENT,36.42,18908.47,18872.050000000003,37991.61,38028.03,9,46.69,0,0
PAYMENT,23.82,91520.16,91496.34,98000.93,98024.75,11,18.81,0,0
PAYMENT,310.28,21635.32,21325.04,9973.62,10283.900000000001,8,8.05,0,0
PAYMENT,190.71,99916.13,99725.42,2140.87,2331.58,15,12.75,0,0
TRANSFER,94933.7,94933.7,0.0,0.0,94933.7,2,404.91,1,1
CASH_IN,164.41,60956.32,60791.909999999996,67844.63,68009.04000000001,8,39.61,0,0
TRANSFER,78.89,47837.09,47758.2,15039.83,15118.72,18,10.19,0,0
TRANSFER,149.86,26818.26,26668.399999999998,96803.85,96953.71,10,39.22,1,0
PAYMENT,951.94,43395.71,42443.77,62715.17,63667.11,12,16.91,0,0
PAYMENT,1081.12,81383.51,80302.39,33363.87,34444.990000000005,15,8.18,0,0
PAYMENT,268.53,26246.65,25978.120000000003,35946.13,36214.659999999996,15,16.4,0,0
PAYMENT,845.96,55078.83,54232.87,86218.31,87064.27,11,14.75,0,0
PAYMENT,485.36,38633.82,38148.46,91257.74,91743.1,12,19.28,0,0
CASH_OUT,18.83,72733.71,72714.88,14471.89,14490.72,17,6.24,0,0
CASH_IN,611.96,84766.22,84154.26,3487.29,4099.25,16,16.98,0,0
PAYMENT,793.45,23708.99,22915.54,66772.41,67565.86,16,32.71,0,0
CASH_OUT,36.34,63986.18,63949.840000000004,17664.28,17700.62,7,6.07,0,0
CASH_OUT,143.78,8112.4,7968.62,24396.94,24540.719999999998,1,2.34,0,0
PAYMENT,6907.47,45456.44,38548.97,64559.31,71466.78,10,1.61,0,0
PAYMENT,8.85,72211.07,72202.22,58214.89,58223.74,12,30.78,0,0
TRANSFER,1606.57,13147.65,11541.08,34154.84,35761.409999999996,22,16.83,1,0
PAYMENT,40.02,22679.37,22639.35,82998.85,83038.87000000001,7,29.57,0,0
TRANSFER,80.1,84988.86,84908.76,1223.97,1304.07,10,39.32,0,0
CASH_IN,1550.55,36917.72,35367.17,69210.79,70761.34,17,43.01,0,0
TRANSFER,221.61,16568.88,16347.27,77299.37,77520.98,15,82.56,0,0
TRANSFER,19.92,4734.0,4714.08,25537.41,25557.329999999998,9,4.04,0,0
TRANSFER,23521.5,35496.24,11974.739999999998,0.0,23521.5,10,68.04,0,1
CASH_OUT,63.11,49062.52,48999.409999999996,68238.07,68301.18000000001,20,21.29,0,0
PAYMENT,70.61,3173.6564865652113,3103.046486565211,87133.33,87203.94,13,26.3,0,0
CASH_OUT,399.3,73176.97,72777.67,46711.34,47110.64,11,37.61,0,0
PAYMENT,65.05,11575.21,11510.16,26334.42,26399.469999999998,3,21.43,0,0
CASH_IN,741.94,99908.72,99166.78,60737.75,61479.69,16,10.87,0,0
TRANSFER,22.7,84367.27,84344.57,25598.97,25621.670000000002,18,7.8,0,0
PAYMENT,402.36,89978.59,89576.23,55890.04,56292.4,14,30.56,0,0
TRANSFER,32.67,23468.64,23435.97,79018.48,79051.15,15,7.8,0,0
TRANSFER,71.36,20779.22,20707.86,39295.5,39366.86,8,1.28,0,0
PAYMENT,81.24,6059.14,5977.900000000001,48066.75,48147.99,18,39.68,0,0
CASH_OUT,503.86,36562.97,36059.11,83272.5,83776.36,9,8.53,0,0
CASH_IN,220.83,3851.1688055874492,3630.3388055874493,57828.35,58049.18,15,3.35,0,0
TRANSFER,11.5,64684.3,64672.8,93810.79,93822.29,16,15.87,0,0
TRANSFER,30672.65,40666.37,9993.720000000001,0.0,30672.65,2,105.75,1,1
DEBIT,55.48,40512.38,40456.899999999994,48526.81,48582.29,8,42.68,0,0
TRANSFER,151.13,11745.11,11593.980000000001,55524.89,55676.02,11,16.81,0,0
TRANSFER,252.0,42480.18,42228.18,72812.61,73064.61,6,2.09,0,0
DEBIT,88.28,15022.9,14934.619999999999,21544.45,21632.73,14,1.88,0,0
PAYMENT,137.61,69202.69,69065.08,75746.64,75884.25,19,36.27,0,0
CASH_IN,501.4,87924.79,87423.39,97831.31,98332.70999999999,4,5.32,0,0
PAYMENT,89.66,47306.95,47217.28999999999,74546.31,74635.97,8,0.56,0,0
CASH_OUT,227.52,20678.5,20450.98,68857.9,69085.42,5,81.71,0,0
PAYMENT,573.99,44369.24,43795.25,33572.13,34146.119999999995,8,33.2,0,0
CASH_OUT,315.19,16294.32,15979.13,80437.64,80752.83,8,28.19,0,0
TRANSFER,457.92,75214.13,74756.21,61116.28,61574.2,10,23.03,0,0
CASH_OUT,1818.39,40087.48,38269.090000000004,18299.28,20117.67,9,100.26,0,0
CASH_IN,45.41,4848.295578600443,4802.885578600443,16475.66,16521.07,15,32.57,0,0
CASH_IN,215.8,44136.37,43920.57,70969.86,71185.66,8,21.48,0,0
PAYMENT,127.43,61697.86,61570.43,80763.28,80890.70999999999,14,7.75,0,0
PAYMENT,232.61,14632.46,14399.849999999999,73263.06,73495.67,13,16.98,0,0
CASH_OUT,463.73,2109.36,1645.63,91617.35,92081.08,12,12.59,0,0
PAYMENT,316.69,92220.33,91903.64,58720.99,59037.68,12,30.08,0,0
CASH_OUT,61.49,57390.85,57329.36,44065.23,44126.72,10,20.05,0,0
PAYMENT,588.91,65351.58,64762.67,66035.74,66624.65000000001,13,1.6,0,0
CASH_OUT,405.77,90729.84,90324.06999999999,38155.26,38561.03,6,11.62,0,0
PAYMENT,77.66,50576.03,50498.369999999995,56411.73,56489.39000000001,9,0.5,0,0
